,0
0,-32.647564684085765
1,-31.653610662874712
2,-33.636118379926664
3,-33.25145395385976
4,-31.860250991813558
5,-32.36226847530423
6,-31.39290529992095
7,-32.84946634388735
8,-33.21739814113806
9,-32.504600475340034
10,-31.89734764981842
11,-31.31610907706417
12,-31.57832818215529
13,-33.61631182834492
14,-35.65303400936438
15,-33.86492678371479
16,-33.9546207146602
17,-31.64563886017072
18,-30.721281391523622
19,-30.929819708371664
20,-33.8117312836092
21,-36.77916836267128
22,-39.49795089058827
23,-42.21291038887116
24,-39.691589494539045
25,-41.817904846254876
26,-42.10467943734767
27,-35.495282355854
28,-31.71628231925639
29,-31.67163349583988
30,-34.78375626870364
31,-37.10981467541506
32,-37.90345910336671
33,-43.76539635251875
34,-36.241550999805426
35,-35.053623598258554
36,-28.99327006387463
37,-30.75883374591429
38,-29.298314302999994
39,-30.937038327786556
40,-31.572585891941987
41,-29.22262110014717
42,-27.591140045171215
43,-33.052667979518276
44,-33.500307724454636
45,-39.524063607635426
46,-44.56663047482802
47,-45.54414006947723
48,-48.77455192326277
49,-45.75638381322991
50,-39.8333212702989
51,-38.238187072117434
52,-29.143598722439652
53,-30.47778426351555
54,-35.220172955036034
55,-38.953207100381285
56,-28.78171493569685
57,-29.55833188241942
58,-26.163311649783083
59,-24.050486309683077
60,-26.318496080123474
61,-29.108564406167623
62,-40.078571347321706
63,-35.897432358010334
64,-40.45619219177576
65,-38.89084123455901
66,-51.57246991232789
67,-53.206925392283196
68,-51.015715473595414
69,-52.32943266640879
70,-46.76050438909246
71,-45.58063246275363
72,-52.839850284262546
73,-53.84321828723732
74,-52.9790932522699
75,-44.930595383489425
76,-34.523940593244134
77,-25.822566246933803
78,-22.679071011217175
79,-32.622479392924454
80,-28.220331830255198
81,-26.316014190895206
82,-22.426126311618205
83,-23.510672345642885
84,-30.548909131925743
85,-24.61051629978102
86,-26.09108485426317
87,-22.409807485407562
88,-28.439173446057644
89,-33.13174545606503
90,-31.763700238973477
91,-24.857579689608336
92,-22.248822657813506
93,-31.407810651662082
94,-26.842484139553257
95,-44.107468411653976
96,-22.08074850616156
97,-24.126152624515356
98,-28.584421271298016
99,-53.2935213955146
100,-58.34529667424019
101,-43.56515417971995
102,-51.03723652761593
103,-37.97966103348383
104,-22.45861648703068
105,-21.030927933736095
106,-26.292851781963286
107,-23.061567779858493
108,-23.089026784958723
109,-23.778953737160855
110,-25.102033711274945
111,-28.133131374535605
112,-27.073609332686292
113,-24.506489722479422
114,-22.311594819938918
115,-31.400797747706516
116,-24.107295904773736
117,-21.661165196858448
118,-25.889502771747935
119,-21.006766869051493
120,-22.28474991486633
121,-42.19460248021159
122,-57.248015086696526
123,-43.00736970695436
124,-55.89031196485481
125,-37.442483309643386
126,-27.426210447468126
127,-42.93436827590554
128,-55.05030106157829
129,-55.44611226465948
130,-56.58647065398714
131,-59.9003662525964
132,-54.47646374204363
133,-36.81517052457719
134,-41.97467091870072
135,-54.80759854363293
136,-59.825646994702346
137,-20.667926756062766
138,-22.758967847550842
139,-20.223174703946487
140,-18.698195983748302
141,-39.590015177317746
142,-34.25841273389653
143,-47.08075748132258
144,-52.30096472616047
145,-69.2031802107976
146,-68.70911459183577
147,51.43573803105433
148,-57.14999887096677
149,-35.92640915912223
150,-37.07630627507126
151,-59.80340184523434
152,-23.712961085233957
153,-16.848287401076274
154,-22.20915559338639
155,-16.8914494453677
156,-21.792668023632036
157,-30.752951243589514
158,-22.44172246578686
159,-29.90726242638104
160,-56.85732155998013
161,34.49700981144467
162,-68.62971797090957
163,42.71892569889278
164,-72.06877382107744
165,-68.33399438958219
166,43.83503676635248
167,-36.24482933642821
168,-15.634199255371442
169,-17.46344925961347
170,-16.77496556903168
171,-17.09995951438549
172,-16.01180936902606
173,-16.66922570789956
174,-28.8656658223622
175,-69.50327229284667
176,-71.23154990633506
177,-70.9925313518604
178,-72.70188358205314
179,-69.54438687231527
180,-74.54152261616956
181,48.75903948200198
182,-74.61436992050753
183,-62.6558579521908
184,-32.325277364889516
185,-47.82915975785409
186,-15.151782407075599
187,-48.46895646229114
188,-72.21855009574946
189,-71.84250768986516
190,31.303668329036213
191,-66.61774763269283
192,-40.461586503633285
193,-43.22888099013548
194,-28.586212495845817
195,-16.535166867095224
196,-17.085656354465925
197,-21.452426581895836
198,-16.389057802587047
199,-19.46157015653323
