,0
0,9.0
1,18.0
2,10.0
3,8.0
4,9.0
5,7.0
6,7.0
7,9.0
8,8.0
9,9.0
10,9.0
11,10.0
12,11.0
13,15.0
14,11.0
15,13.0
16,11.0
17,11.0
18,13.0
19,10.0
20,11.0
21,17.0
22,9.0
23,9.0
24,8.0
25,10.0
26,9.0
27,10.0
28,8.0
29,10.0
30,10.0
31,9.0
32,8.0
33,10.0
34,8.0
35,9.0
36,10.0
37,8.0
38,8.0
39,8.0
40,10.0
41,9.0
42,10.0
43,9.0
44,8.0
45,10.0
46,8.0
47,9.0
48,8.0
49,8.0
50,10.0
51,10.0
52,9.0
53,9.0
54,8.0
55,10.0
56,7.0
57,9.0
58,9.0
59,8.0
60,10.0
61,10.0
62,10.0
63,9.0
64,9.0
65,8.0
66,11.0
67,9.0
68,9.0
69,8.0
70,9.0
71,10.0
72,12.0
73,13.0
74,25.0
75,20.0
76,29.0
77,22.0
78,25.0
79,13.0
80,14.0
81,9.0
82,8.0
83,9.0
84,7.0
85,8.0
86,9.0
87,9.0
88,9.0
89,8.0
90,11.0
91,8.0
92,8.0
93,9.0
94,8.0
95,8.0
96,8.0
97,9.0
98,9.0
99,8.0
100,10.0
101,8.0
102,9.0
103,7.0
104,8.0
105,8.0
106,8.0
107,8.0
108,8.0
109,9.0
110,8.0
111,9.0
112,9.0
113,9.0
114,8.0
115,8.0
116,8.0
117,9.0
118,9.0
119,10.0
120,7.0
121,8.0
122,9.0
123,7.0
124,7.0
125,9.0
126,9.0
127,9.0
128,7.0
129,8.0
130,9.0
131,9.0
132,7.0
133,8.0
134,9.0
135,8.0
136,8.0
137,8.0
138,9.0
139,9.0
140,9.0
141,8.0
142,9.0
143,7.0
144,9.0
145,8.0
146,8.0
147,8.0
148,9.0
149,9.0
150,7.0
151,8.0
152,7.0
153,7.0
154,7.0
155,9.0
156,8.0
157,8.0
158,9.0
159,9.0
160,9.0
161,7.0
162,8.0
163,9.0
164,9.0
165,7.0
166,9.0
167,8.0
168,9.0
169,9.0
170,8.0
171,8.0
172,9.0
173,8.0
174,8.0
175,9.0
176,9.0
177,9.0
178,10.0
179,8.0
180,10.0
181,8.0
182,8.0
183,10.0
184,9.0
185,9.0
186,9.0
187,9.0
188,8.0
189,8.0
190,7.0
191,8.0
192,9.0
193,10.0
194,9.0
195,7.0
196,8.0
197,8.0
198,8.0
199,9.0
